%,ADP,Data,File:,ELK2205021510.adp,,,,,,,,,,,,,,,,,,
%,Start,Date,+,Time:,2/5/2022,15:10:37,,,,,,,,,,,,,,,,
%,All,Track,Calculations,use:,Bottom,Track,data,,,,,,,,,,,,,,,
%,All,Flow,Velocities,Relative,to:,Bottom,Track,,,,,,,,,,,,,,,
%,Metric,Units,,,,,,,,,,,,,,,,,,,,
Profile,Date,Time,Distance(m),DMG(m),DistEast(m),DistNorth(m),Latitude(deg),Longitude(deg),Depth_1(m),Depth_2(m),Depth_3(m),AvDepth(m),EsDepth(m),uVess(m/s),DirVess(deg),uFlow(m/s),DirFlow(deg),StdDev(m/s),DQI,#_Valid_Cells,Q(m^3/s),Q_Cumul(m^3/s)
1,2022-05-02,15:10:37,0.6,0.6,0.1,0.6,36.81070333,-121.7844867,6.68,10.17,5.59,7.48,0,0.13,13.5,0.01,337.5,0.01,0.7,8,0.04,0
2,2022-05-02,15:10:42,1.5,1.5,0.5,1.4,36.81069833,-121.7844833,8.01,10.43,5.88,8.11,0,0.17,26.1,0.04,218.6,0.01,0.7,9,0.05,0.1
3,2022-05-02,15:10:47,2.5,2.4,0.8,2.3,36.81068667,-121.7844767,8.75,10.55,6.35,8.55,0,0.2,15,0.11,176.4,0.01,0.3,10,-0.29,-0.2
4,2022-05-02,15:10:52,3.8,3.8,1.4,3.5,36.81067833,-121.7844717,9.48,10.76,6.73,8.99,0,0.27,28.2,0.12,118.5,0.01,0.4,10,-1.47,-1.7
5,2022-05-02,15:10:57,5.7,5.4,3.1,4.4,36.81066833,-121.78447,10.07,10.95,7.32,9.45,0,0.38,61.6,0.22,124,0.01,0.4,11,-3.57,-5.2
6,2022-05-02,15:11:02,7.6,7.1,4.8,5.3,36.81065333,-121.7844817,10.37,10.91,7.78,9.69,0,0.39,63.6,0.19,129.6,0.01,0.5,12,-3.24,-8.5
7,2022-05-02,15:11:07,9.1,8.5,6.2,5.8,36.81064167,-121.78449,10.64,10.93,8.29,9.95,0,0.29,70.4,0.14,131.9,0,0.2,13,-1.76,-10.2
8,2022-05-02,15:11:12,10.2,9.2,7.3,5.6,36.81063333,-121.784495,10.74,11.01,8.52,10.09,0,0.22,98.1,0.25,145.9,0.01,0.4,14,-2.06,-12.3
9,2022-05-02,15:11:17,11.2,9.9,8.2,5.5,36.81062167,-121.7844983,10.82,10.88,8.83,10.18,0,0.19,94.8,0.2,159.7,0,0.3,14,-1.71,-14
10,2022-05-02,15:11:22,12,10.4,9,5.2,36.81061333,-121.7845033,10.84,10.88,9.26,10.33,0,0.16,114.4,0.16,161.4,0,0.2,15,-1.01,-15
