profile,date_time,latitude,longitude,depth,1,water_dir,V_x,V_y,V_z,6,7,8,9,10,11,flag
1,2022-05-09 14:24:04,36.8106583,-121.7845733,0.9,18.49,328.717,-9.6,15.8,-2.5,0.0,147.0,145.0,149.0,0.0,100.0,0.03
1,2022-05-09 14:24:04,36.8106583,-121.7845733,1.4,13.79,316.469,-9.5,10.0,-1.5,0.0,140.0,143.0,144.0,0.0,100.0,0.03
1,2022-05-09 14:24:04,36.8106583,-121.7845733,1.9,29.30,319.568,-19.0,22.3,2.6,0.0,131.0,132.0,136.0,0.0,100.0,0.07
1,2022-05-09 14:24:04,36.8106583,-121.7845733,2.4,30.38,337.148,-11.8,28.0,-0.8,0.0,128.0,127.0,131.0,0.0,100.0,0.04
1,2022-05-09 14:24:04,36.8106583,-121.7845733,2.9,24.46,338.155,-9.1,22.7,0.1,0.0,122.0,122.0,127.0,0.0,100.0,0.03
1,2022-05-09 14:24:04,36.8106583,-121.7845733,3.4,14.95,338.412,-5.5,13.9,-0.6,0.0,119.0,119.0,118.0,0.0,100.0,0.02
1,2022-05-09 14:24:04,36.8106583,-121.7845733,3.9,10.72,310.079,-8.2,6.9,0.7,0.0,115.0,114.0,118.0,0.0,100.0,0.03
1,2022-05-09 14:24:04,36.8106583,-121.7845733,4.4,10.82,297.512,nan,nan,nan,0.0,109.0,108.0,173.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,4.9,5.02,5.711,nan,nan,nan,0.0,104.0,108.0,213.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,5.4,6.00,336.425,nan,nan,nan,0.0,102.0,107.0,130.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,5.9,5.63,263.885,nan,nan,nan,0.0,99.0,101.0,47.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,6.4,13.40,302.504,nan,nan,nan,0.0,102.0,102.0,42.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,6.9,4.43,331.699,nan,nan,nan,0.0,161.0,95.0,42.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,7.4,1.00,0.000,nan,nan,nan,0.0,198.0,92.0,39.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,7.9,41.78,192.440,nan,nan,nan,0.0,170.0,110.0,36.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,8.4,69.12,208.048,nan,nan,nan,0.0,86.0,164.0,34.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,8.9,32.93,220.073,nan,nan,nan,0.0,49.0,177.0,37.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,9.4,30.30,155.634,nan,nan,nan,0.0,37.0,134.0,56.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,9.9,43.73,99.742,nan,nan,nan,0.0,35.0,75.0,69.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,10.4,84.01,90.955,nan,nan,nan,0.0,33.0,50.0,65.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,10.9,169.27,93.217,nan,nan,nan,0.0,33.0,40.0,43.0,0.0,100.0,2147483647.0
1,2022-05-09 14:24:04,36.8106583,-121.7845733,11.4,162.91,96.698,nan,nan,nan,0.0,33.0,35.0,37.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,0.9,5.91,303.959,-4.9,3.3,2.4,0.0,141.0,141.0,147.0,0.0,100.0,0.03
2,2022-05-09 14:24:09,36.810655,-121.7845667,1.4,25.66,309.148,-19.9,16.2,-0.7,0.0,137.0,139.0,144.0,0.0,100.0,0.13
2,2022-05-09 14:24:09,36.810655,-121.7845667,1.9,20.94,273.559,-20.9,1.3,1.2,0.0,130.0,131.0,133.0,0.0,100.0,0.07
2,2022-05-09 14:24:09,36.810655,-121.7845667,2.4,24.03,338.774,-8.7,22.4,-0.2,0.0,122.0,124.0,127.0,0.0,100.0,0.12
2,2022-05-09 14:24:09,36.810655,-121.7845667,2.9,4.17,315.971,-2.9,3.0,0.2,0.0,117.0,118.0,121.0,0.0,100.0,0.02
2,2022-05-09 14:24:09,36.810655,-121.7845667,3.4,11.67,282.369,-11.4,2.5,-2.6,0.0,115.0,115.0,116.0,0.0,100.0,0.05
2,2022-05-09 14:24:09,36.810655,-121.7845667,3.9,8.06,281.449,-7.9,1.6,-0.5,0.0,111.0,113.0,113.0,0.0,100.0,0.03
2,2022-05-09 14:24:09,36.810655,-121.7845667,4.4,14.86,278.512,-14.7,2.2,-2.9,0.0,111.0,109.0,129.0,0.0,100.0,0.05
2,2022-05-09 14:24:09,36.810655,-121.7845667,4.9,20.62,329.704,nan,nan,nan,0.0,107.0,106.0,197.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,5.4,5.31,289.799,nan,nan,nan,0.0,105.0,106.0,215.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,5.9,13.94,306.541,nan,nan,nan,0.0,104.0,103.0,59.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,6.4,5.17,165.426,nan,nan,nan,0.0,99.0,99.0,48.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,6.9,11.41,117.688,nan,nan,nan,0.0,135.0,93.0,40.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,7.4,31.28,195.769,nan,nan,nan,0.0,185.0,94.0,38.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,7.9,26.02,194.463,nan,nan,nan,0.0,187.0,108.0,36.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,8.4,108.73,202.437,nan,nan,nan,0.0,91.0,162.0,34.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,8.9,166.65,208.610,nan,nan,nan,0.0,53.0,180.0,34.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,9.4,68.34,197.719,nan,nan,nan,0.0,41.0,139.0,37.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,9.9,12.73,128.941,nan,nan,nan,0.0,37.0,69.0,56.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,10.4,153.19,93.555,nan,nan,nan,0.0,35.0,48.0,73.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,10.9,185.68,88.272,nan,nan,nan,0.0,33.0,39.0,66.0,0.0,100.0,2147483647.0
2,2022-05-09 14:24:09,36.810655,-121.7845667,11.4,246.82,84.070,nan,nan,nan,0.0,32.0,35.0,42.0,0.0,100.0,2147483647.0
3,2022-05-09 14:24:14,36.810645,-121.7845633,0.9,6.80,17.103,2.0,6.5,-8.5,0.0,148.0,148.0,148.0,0.0,100.0,0.02
3,2022-05-09 14:24:14,36.810645,-121.7845633,1.4,26.95,281.560,-26.4,5.4,-2.6,0.0,140.0,143.0,142.0,0.0,100.0,0.12
3,2022-05-09 14:24:14,36.810645,-121.7845633,1.9,25.61,292.258,-23.7,9.7,-2.9,0.0,135.0,135.0,137.0,0.0,100.0,0.13
