profile,date_time,latitude,longitude,depth,1,water_dir,V_x,V_y,V_z,6,7,8,9,10,11,flag
1,2022-05-09 14:28:23,36.8099767,-121.7840650,0.9,26.82,57.021,22.5,14.6,-5.4,0.0,164.0,171.0,165.0,0.0,100.0,-0.08
1,2022-05-09 14:28:23,36.8099767,-121.7840650,1.4,31.50,71.680,nan,nan,nan,0.0,193.0,206.0,204.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,1.9,34.92,66.004,nan,nan,nan,0.0,217.0,220.0,222.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,2.4,21.10,66.837,nan,nan,nan,0.0,138.0,157.0,170.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,2.9,39.83,68.653,nan,nan,nan,0.0,124.0,125.0,130.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,3.4,22.34,78.640,nan,nan,nan,0.0,122.0,129.0,130.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,3.9,34.11,96.396,nan,nan,nan,0.0,111.0,119.0,122.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,4.4,25.99,62.252,nan,nan,nan,0.0,105.0,107.0,108.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,4.9,37.03,112.548,nan,nan,nan,0.0,87.0,96.0,96.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,5.4,42.95,92.802,nan,nan,nan,0.0,76.0,88.0,84.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,5.9,40.60,71.922,nan,nan,nan,0.0,72.0,82.0,75.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,6.4,37.90,90.454,nan,nan,nan,0.0,66.0,75.0,74.0,0.0,100.0,2147483647.0
1,2022-05-09 14:28:23,36.8099767,-121.7840650,6.9,50.91,93.829,nan,nan,nan,0.0,59.0,71.0,68.0,0.0,100.0,2147483647.0
