profile,date_time,latitude,longitude,depth,1,water_dir,V_x,V_y,V_z,6,7,8,9,10,11,flag
1,2022-04-25 11:24:27,36.812025,-121.7822250,1.0,74.54,279.108,-73.6,11.8,0.9,0.0,161.0,160.0,160.0,0.0,100.0,0.42
1,2022-04-25 11:24:27,36.812025,-121.7822250,1.6,75.25,276.256,-74.8,8.2,5.6,0.0,152.0,156.0,152.0,0.0,100.0,0.4
1,2022-04-25 11:24:27,36.812025,-121.7822250,2.2,57.58,267.013,-57.5,-3.0,1.6,0.0,144.0,143.0,144.0,0.0,100.0,0.26
1,2022-04-25 11:24:27,36.812025,-121.7822250,2.8,51.08,265.171,-50.9,-4.3,1.2,0.0,138.0,138.0,135.0,0.0,100.0,0.22
1,2022-04-25 11:24:27,36.812025,-121.7822250,3.4,49.96,274.592,-49.8,4.0,0.9,0.0,136.0,136.0,133.0,0.0,100.0,0.26
1,2022-04-25 11:24:27,36.812025,-121.7822250,4.0,58.29,257.919,-57.0,-12.2,-2.1,0.0,132.0,129.0,130.0,0.0,100.0,0.21
1,2022-04-25 11:24:27,36.812025,-121.7822250,4.6,58.64,252.739,-56.0,-17.4,-3.5,0.0,127.0,128.0,127.0,0.0,100.0,0.18
1,2022-04-25 11:24:27,36.812025,-121.7822250,5.2,43.15,246.941,nan,nan,nan,0.0,124.0,127.0,131.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,5.8,3.98,258.408,nan,nan,nan,0.0,185.0,186.0,161.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,6.4,4.13,32.152,nan,nan,nan,0.0,180.0,176.0,207.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,7.0,13.24,338.279,nan,nan,nan,0.0,51.0,54.0,84.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,7.6,8.55,263.956,nan,nan,nan,0.0,42.0,40.0,48.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,8.2,15.71,268.176,nan,nan,nan,0.0,36.0,35.0,38.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,8.8,17.70,145.592,nan,nan,nan,0.0,34.0,32.0,34.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,9.4,15.83,40.130,nan,nan,nan,0.0,33.0,32.0,33.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,10.0,27.60,9.804,nan,nan,nan,0.0,32.0,32.0,32.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,10.6,30.00,13.295,nan,nan,nan,0.0,31.0,32.0,31.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,11.2,32.46,356.644,nan,nan,nan,0.0,36.0,31.0,31.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,11.8,30.83,44.212,nan,nan,nan,0.0,67.0,50.0,45.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,12.4,3.00,233.130,nan,nan,nan,0.0,63.0,66.0,64.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,13.0,29.31,200.785,nan,nan,nan,0.0,39.0,40.0,55.0,0.0,100.0,2147483647.0
1,2022-04-25 11:24:27,36.812025,-121.7822250,13.6,0.89,153.435,nan,nan,nan,0.0,31.0,31.0,34.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,1.0,66.64,271.978,-66.6,2.3,5.2,0.0,162.0,163.0,160.0,0.0,100.0,0.28
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,1.6,71.91,292.571,-66.4,27.6,3.6,0.0,154.0,150.0,153.0,0.0,100.0,0.4
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,2.2,68.98,277.414,-68.4,8.9,3.4,0.0,144.0,141.0,145.0,0.0,100.0,0.32
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,2.8,69.16,267.680,-69.1,-2.8,1.9,0.0,139.0,136.0,137.0,0.0,100.0,0.27
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,3.4,67.10,262.981,-66.6,-8.2,-2.4,0.0,132.0,132.0,130.0,0.0,100.0,0.24
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,4.0,64.36,263.129,-63.9,-7.7,-2.1,0.0,126.0,130.0,126.0,0.0,100.0,0.23
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,4.6,62.16,250.253,-58.5,-21.0,-1.2,0.0,124.0,126.0,125.0,0.0,100.0,0.14
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,5.2,60.61,248.005,nan,nan,nan,0.0,126.0,123.0,127.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,5.8,13.82,267.096,nan,nan,nan,0.0,187.0,196.0,160.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,6.4,6.40,271.790,nan,nan,nan,0.0,158.0,175.0,208.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,7.0,11.73,342.646,nan,nan,nan,0.0,48.0,57.0,88.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,7.6,23.79,277.245,nan,nan,nan,0.0,37.0,52.0,52.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,8.2,34.91,276.250,nan,nan,nan,0.0,32.0,42.0,42.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,8.8,38.62,271.929,nan,nan,nan,0.0,31.0,38.0,37.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,9.4,35.26,291.982,nan,nan,nan,0.0,31.0,38.0,34.0,0.0,100.0,2147483647.0
2,2022-04-25 11:24:32,36.812033299999996,-121.7822250,10.0,33.22,306.801,nan,nan,nan,0.0,30.0,38.0,32.0,0.0,100.0,2147483647.0
