profile,date_time,latitude,longitude,depth,1,water_dir,V_x,V_y,V_z,6,7,8,9,10,11,flag
1,2022-05-02 11:46:25,36.8124217,-121.7818017,0.8,47.21,331.264,-22.7,41.4,0.9,0.0,148.0,145.0,149.0,0.0,100.0,0.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,1.2,33.59,330.382,-16.6,29.2,-4.5,0.0,147.0,147.0,144.0,0.0,100.0,0.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,1.6,33.48,319.603,-21.7,25.5,-3.1,0.0,142.0,140.0,138.0,0.0,100.0,0.04
1,2022-05-02 11:46:25,36.8124217,-121.7818017,2.0,30.76,315.922,-21.4,22.1,-7.6,0.0,134.0,132.0,131.0,0.0,100.0,0.05
1,2022-05-02 11:46:25,36.8124217,-121.7818017,2.4,24.10,310.962,-18.2,15.8,2.2,0.0,126.0,129.0,127.0,0.0,100.0,0.05
1,2022-05-02 11:46:25,36.8124217,-121.7818017,2.8,35.90,338.940,nan,nan,nan,0.0,123.0,125.0,166.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,3.2,45.32,294.925,nan,nan,nan,0.0,126.0,138.0,215.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,3.6,19.34,318.563,nan,nan,nan,0.0,155.0,205.0,213.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,4.0,10.18,277.334,nan,nan,nan,0.0,191.0,222.0,190.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,4.4,8.12,273.532,nan,nan,nan,0.0,213.0,203.0,107.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,4.8,15.51,312.125,nan,nan,nan,0.0,177.0,92.0,130.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,5.2,23.02,279.503,nan,nan,nan,0.0,98.0,114.0,112.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,5.6,3.40,0.000,nan,nan,nan,0.0,110.0,99.0,95.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,6.0,4.64,262.569,nan,nan,nan,0.0,90.0,80.0,80.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,6.4,11.72,248.471,nan,nan,nan,0.0,73.0,66.0,76.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,6.8,4.27,327.426,nan,nan,nan,0.0,58.0,66.0,79.0,0.0,100.0,2147483647.0
1,2022-05-02 11:46:25,36.8124217,-121.7818017,7.2,22.66,351.369,nan,nan,nan,0.0,49.0,94.0,76.0,0.0,100.0,2147483647.0
