profile,date_time,latitude,longitude,depth,1,water_dir,V_x,V_y,V_z,6,7,8,9,10,11,flag
1,2022-05-02 11:53:55,36.8111433,-121.7806567,0.8,16.71,227.911,-12.4,-11.2,3.6,0.0,145.0,143.0,150.0,0.0,100.0,-0.11
1,2022-05-02 11:53:55,36.8111433,-121.7806567,1.2,28.49,211.067,-14.7,-24.4,1.4,0.0,137.0,140.0,142.0,0.0,100.0,-0.22
1,2022-05-02 11:53:55,36.8111433,-121.7806567,1.6,17.02,220.711,-11.1,-12.9,3.1,0.0,134.0,133.0,138.0,0.0,100.0,-0.12
1,2022-05-02 11:53:55,36.8111433,-121.7806567,2.0,20.84,217.200,-12.6,-16.6,1.2,0.0,125.0,128.0,130.0,0.0,100.0,-0.16
1,2022-05-02 11:53:55,36.8111433,-121.7806567,2.4,18.70,214.540,-10.6,-15.4,5.9,0.0,122.0,121.0,120.0,0.0,100.0,-0.14
1,2022-05-02 11:53:55,36.8111433,-121.7806567,2.8,16.42,166.979,3.7,-16.0,1.8,0.0,115.0,113.0,118.0,0.0,100.0,-0.12
1,2022-05-02 11:53:55,36.8111433,-121.7806567,3.2,12.01,177.138,nan,nan,nan,0.0,113.0,108.0,152.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,3.6,22.90,248.477,nan,nan,nan,0.0,130.0,182.0,219.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,4.0,0.92,229.399,nan,nan,nan,0.0,209.0,219.0,224.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,4.4,15.90,150.210,nan,nan,nan,0.0,209.0,93.0,103.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,4.8,8.41,298.393,nan,nan,nan,0.0,49.0,49.0,114.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,5.2,19.44,323.366,nan,nan,nan,0.0,53.0,47.0,105.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,5.6,27.75,345.814,nan,nan,nan,0.0,42.0,42.0,89.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,6.0,23.87,50.440,nan,nan,nan,0.0,39.0,40.0,72.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,6.4,37.38,39.354,nan,nan,nan,0.0,38.0,39.0,62.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,6.8,43.11,88.538,nan,nan,nan,0.0,37.0,41.0,62.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,7.2,60.26,43.790,nan,nan,nan,0.0,35.0,40.0,82.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,7.6,58.74,103.989,nan,nan,nan,0.0,59.0,84.0,100.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,8.0,4.16,144.782,nan,nan,nan,0.0,102.0,99.0,99.0,0.0,100.0,2147483647.0
1,2022-05-02 11:53:55,36.8111433,-121.7806567,8.4,17.02,189.130,nan,nan,nan,0.0,101.0,77.0,82.0,0.0,100.0,2147483647.0
2,2022-05-02 11:54:00,36.8111617,-121.7806567,0.8,30.51,205.221,-13.0,-27.6,2.7,0.0,148.0,147.0,147.0,0.0,100.0,-0.28
2,2022-05-02 11:54:00,36.8111617,-121.7806567,1.2,44.09,210.986,-22.7,-37.8,3.9,0.0,143.0,144.0,141.0,0.0,100.0,-0.41
2,2022-05-02 11:54:00,36.8111617,-121.7806567,1.6,21.61,214.058,-12.1,-17.9,7.7,0.0,134.0,133.0,136.0,0.0,100.0,-0.2
2,2022-05-02 11:54:00,36.8111617,-121.7806567,2.0,35.20,206.128,-15.5,-31.6,-2.1,0.0,128.0,127.0,129.0,0.0,100.0,-0.32
2,2022-05-02 11:54:00,36.8111617,-121.7806567,2.4,30.08,186.298,-3.3,-29.9,-2.9,0.0,122.0,121.0,124.0,0.0,100.0,-0.25
2,2022-05-02 11:54:00,36.8111617,-121.7806567,2.8,18.05,164.578,4.8,-17.4,2.4,0.0,118.0,120.0,163.0,0.0,100.0,-0.11
2,2022-05-02 11:54:00,36.8111617,-121.7806567,3.2,21.13,285.089,nan,nan,nan,0.0,113.0,117.0,219.0,0.0,100.0,2147483647.0
2,2022-05-02 11:54:00,36.8111617,-121.7806567,3.6,23.30,242.665,nan,nan,nan,0.0,121.0,180.0,223.0,0.0,100.0,2147483647.0
2,2022-05-02 11:54:00,36.8111617,-121.7806567,4.0,4.88,61.858,nan,nan,nan,0.0,210.0,226.0,155.0,0.0,100.0,2147483647.0
2,2022-05-02 11:54:00,36.8111617,-121.7806567,4.4,9.55,316.273,nan,nan,nan,0.0,216.0,102.0,98.0,0.0,100.0,2147483647.0
2,2022-05-02 11:54:00,36.8111617,-121.7806567,4.8,33.53,261.942,nan,nan,nan,0.0,56.0,60.0,111.0,0.0,100.0,2147483647.0
2,2022-05-02 11:54:00,36.8111617,-121.7806567,5.2,24.99,259.859,nan,nan,nan,0.0,63.0,56.0,94.0,0.0,100.0,2147483647.0
